"timestamp","lfi_id","lfi_name","tpp_id","tpp_name","tpp_client_id","api_set_sub","http_method","url","tpp_response_code_group","execution_time","interaction_id","resource_name","lfi_response_code_group","is_attended","records","payment_type","payment_id","merchant_id","psu_id","is_large_corporate","user_type","purpose","status","currency","amount","payment_consent_type","transaction_id","number_of_successful_transactions","international_payment","chargeable","lfiChargable","success","group","type","discountType","api_category","discounted","api_hub_fee","applicableApiHubFee","apiHubVolume","calculatedFee","applicableFee","unit_price","volume","appliedLimit","limitApplied","isCapped","cappedAt","numberOfPages","duplicate","category"
"2025-11-20T10:22:52.627Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",2213,"40a96ee7-8052-4cfd-ad28-9751f8b98aff","cbuae-service-initiation","201",true,,"Collection","411PFD2994F14281",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",2,"SingleInstantPayment",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.008,0.008,0.0038,2,0,false,false,0,0,false,"Merchant Collection"
"2025-11-20T12:00:30.622Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",3101,"7539a4c0-df62-4384-b541-e2f386986b56","cbuae-service-initiation","201",true,,"Collection","411P76DBC234B84E",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",1.41,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.004,0.004,0.0038,1,0,false,false,0,0,false,"Merchant Collection"
"2025-11-20T14:00:28.618Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",3949,"ea4ee71c-885c-4481-87c9-74215c3df2b0","cbuae-service-initiation","201",true,,"Collection","411P2E02415A880D",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",4,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.015,0.015,0.0038,4,0,false,false,0,0,false,"Merchant Collection"
"2025-11-20T16:00:29.866Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",3729,"d0375fc3-5e6a-44fb-b574-9eebd4bcfd20","cbuae-service-initiation","201",true,,"Collection","411P60847B9B848F",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",1.75,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.004,0.004,0.0038,1,0,false,false,0,0,false,"Merchant Collection"
"2025-11-20T18:00:29.560Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",8552,"e04459dc-2b44-42a0-91fe-b523b74c3515","cbuae-service-initiation","201",true,,"Collection","411P5C1454C5D147",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",3.32,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.011,0.011,0.0038,3,0,false,false,0,0,false,"Merchant Collection"
"2025-11-20T20:00:29.558Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",4106,"ac3d2750-ee6a-4191-bf2c-572bee051e94","cbuae-service-initiation","201",true,,"Collection","411PC3913AAF35D2",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",1.29,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.004,0.004,0.0038,1,0,false,false,0,0,false,"Merchant Collection"
"2025-11-20T22:00:27.940Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",7409,"3475b8dc-23bd-4863-abfb-edd103d3ca33","cbuae-service-initiation","201",true,,"Collection","411P78986A7B19C6",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",3.66,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.011,0.011,0.0038,3,0,false,false,0,0,false,"Merchant Collection"
"2025-11-21T00:00:29.734Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",9469,"b651237b-419d-4b48-843f-bd963a0ba18f","cbuae-service-initiation","201",true,,"Collection","411P4B32B3BACF4F",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",3.92,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.011,0.011,0.0038,3,0,false,false,0,0,false,"Merchant Collection"
"2025-11-21T02:00:26.882Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",6522,"4eeb3649-2b00-4b77-a48c-b06546be1544","cbuae-service-initiation","201",true,,"Collection","411P75DF633321DD",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",3.75,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.011,0.011,0.0038,3,0,false,false,0,0,false,"Merchant Collection"
"2025-11-21T04:00:30.814Z","ADIBRT","uae-adibrt","bc3e7f48-da31-4e7a-b622-dc893e7f2847","LEAN TECH","https://rp.directory.openfinance.ae/openid_relying_party/3d354e55-4d4b-4485-ba41-921feaad54fb","PISP","POST","open-finance/payment/v1.2/payments","2xx",4584,"8f6bf4ef-9c51-451a-8e0a-f67b4a580a5e","cbuae-service-initiation","201",true,,"Collection","411P3C32F9E5D082",,"e776ff6d7bd6b9e19beda07041f2a207d3ca2c2322558a46a04d03e28df7aa08",,,,"AcceptedCreditSettlementCompleted","AED",2.05,"VariableOnDemand",,,false,true,true,true,"payment-non-bulk","merchant",,"Bank Service Initiation",false,0.025,0.025,1,0.008,0.008,0.0038,2,0,false,false,0,0,false,"Merchant Collection"
